127.0.0.1 - - [12/Feb/2026:15:49:07 +0530] "GET / HTTP/1.1" 200 11237
127.0.0.1 - - [12/Feb/2026:16:07:07 +0530] "GET /lab4/ HTTP/1.1" 404 761
127.0.0.1 - - [12/Feb/2026:16:07:21 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 375
127.0.0.1 - - [12/Feb/2026:16:18:19 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
127.0.0.1 - - [12/Feb/2026:16:18:19 +0530] "GET /lab4/style.css HTTP/1.1" 200 720
127.0.0.1 - - [12/Feb/2026:16:18:25 +0530] "GET /lab4/signup.jsp HTTP/1.1" 200 459
127.0.0.1 - - [12/Feb/2026:16:18:46 +0530] "POST /lab4/signupProcess.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:18:46 +0530] "GET /lab4/login.jsp HTTP/1.1" 200 517
127.0.0.1 - - [12/Feb/2026:16:18:46 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Feb/2026:16:19:00 +0530] "POST /lab4/loginProcess.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:19:00 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:19:03 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:19:03 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 781
127.0.0.1 - - [12/Feb/2026:16:19:08 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:19:08 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 752
127.0.0.1 - - [12/Feb/2026:16:19:12 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:19:12 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 770
127.0.0.1 - - [12/Feb/2026:16:19:12 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Feb/2026:16:21:04 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:04 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:04 +0530] "GET /lab4/result.jsp HTTP/1.1" 200 197
127.0.0.1 - - [12/Feb/2026:16:21:04 +0530] "GET /lab4/style.css HTTP/1.1" 304 -
127.0.0.1 - - [12/Feb/2026:16:21:06 +0530] "GET /lab4/dashboard.jsp HTTP/1.1" 200 249
127.0.0.1 - - [12/Feb/2026:16:21:08 +0530] "GET /lab4/startTest.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:08 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 781
127.0.0.1 - - [12/Feb/2026:16:21:11 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:11 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 752
127.0.0.1 - - [12/Feb/2026:16:21:13 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:13 +0530] "GET /lab4/question.jsp HTTP/1.1" 200 770
127.0.0.1 - - [12/Feb/2026:16:21:16 +0530] "POST /lab4/saveAnswer.jsp HTTP/1.1" 302 -
127.0.0.1 - - [12/Feb/2026:16:21:16 +0530] "GET /lab4/submitTest.jsp HTTP/1.1" 302 -
